          1          2          3          4          5          6          7          8          9         10         11
          2          3          4          5          6          7          8          9         10         11         12
          3          5          7          9         11         13         15         17         19         21         23
          5         13         29         61        125        253        509       1021       2045       4093       8189
         13         31         80        194        454       1038       2334       5182      11390      24830      53758
         31         75        215        576       1476       3664       8880      21120      49472     114432     261888
         75        181        551       1577       4314      11400      29312      73712     181984     442368    1061120
        181        437       1384       4155      11947      33168      89464     235568     607760    1540864    3847936
        437       1055       3427      10651      31831      91969     258146     706796    1894056    4981600   12889024
       1055       2547       8413      26821      82614     246587     715647    2026048    5611548   15243744   40701984
       2547       6149      20536      66704     210381     644873    1924983    5609017   15990794   44701328  122768320
